gameID,isHome,opponent,shotsFor,shotsAgainst,goalsFor,goalsAgainst,teamSaves,opponentSaves,backToBack,team,teamSaves_rolling,opponentSaves_rolling,teamSaves_rolling_3,opponentSaves_rolling_3,teamSaves_rolling_10,opponentSaves_rolling_10,teamSaves_rolling_15,opponentSaves_rolling_15
2024020055,False,CGY,32,27,1,3,24,31,False,CHI,,,30.333333333333332,21.333333333333332,,,,
2024020055,True,CHI,27,32,3,1,31,24,False,CGY,,,27.0,23.666666666666668,,,,
2024020056,True,PHI,31,30,4,3,27,27,False,EDM,,,18.0,30.333333333333332,,,,
2024020056,False,EDM,30,31,3,4,27,27,False,PHI,,,,,,,,
2024020057,True,BUF,43,33,6,5,28,37,False,PIT,,,27.666666666666668,22.333333333333332,,,,
2024020057,False,PIT,33,43,5,6,37,28,False,BUF,,,25.666666666666668,23.666666666666668,,,,
2024020058,False,TOR,34,26,2,6,20,32,False,LAK,,,29.666666666666668,24.0,,,,
2024020058,True,LAK,26,34,6,2,32,20,False,TOR,,,22.666666666666668,31.666666666666668,,,,
2024020059,True,BOS,25,26,3,5,21,22,False,COL,,,20.333333333333332,28.666666666666668,,,,
2024020059,False,COL,26,25,5,3,22,21,False,BOS,,,25.0,23.666666666666668,,,,
2024020060,True,UTA,34,30,5,4,26,29,False,ANA,,,,,,,,
2024020060,False,ANA,30,34,4,5,29,26,False,UTA,,,27.0,20.333333333333332,,,,
2024020061,True,LAK,27,32,1,4,28,26,False,MTL,,,23.666666666666668,22.333333333333332,,,,
2024020061,False,MTL,32,27,4,1,26,28,True,LAK,,,25.666666666666668,28.0,,,,
2024020062,True,NJD,31,35,1,3,32,30,False,OTT,,,24.0,28.333333333333332,,,,
2024020062,False,OTT,35,31,3,1,30,32,False,NJD,22.2,27.2,25.333333333333332,27.0,,,,
2024020063,True,NYR,31,34,2,5,29,29,False,DET,,,29.333333333333332,26.333333333333332,,,,
2024020063,False,DET,34,31,5,2,29,29,False,NYR,,,27.333333333333332,29.0,,,,
2024020064,False,TBL,25,25,3,4,21,22,False,VGK,,,19.666666666666668,25.666666666666668,,,,
2024020064,True,VGK,25,25,4,3,22,21,False,TBL,,,25.0,24.0,,,,
2024020065,False,FLA,33,28,3,2,26,30,False,VAN,,,24.0,23.0,,,,
2024020065,True,VAN,28,33,2,3,30,26,False,FLA,26.6,24.6,27.0,21.0,,,,
2024020066,True,DAL,26,24,3,2,22,23,False,WSH,,,,,,,,
2024020066,False,WSH,24,26,2,3,23,22,False,DAL,,,28.0,27.0,,,,
2024020067,True,BUF,25,24,6,4,20,19,False,CBJ,,,22.333333333333332,27.666666666666668,,,,
2024020067,False,CBJ,24,25,4,6,19,20,True,BUF,26.6,25.8,26.666666666666668,27.333333333333332,,,,
2024020068,False,STL,34,30,0,1,29,34,False,NYI,,,25.666666666666668,29.333333333333332,,,,
2024020068,True,NYI,30,34,1,0,34,29,False,STL,,,24.0,27.0,,,,
2024020069,True,EDM,27,36,2,4,32,25,False,NSH,,,21.0,35.0,,,,
2024020069,False,NSH,36,27,4,2,25,32,False,EDM,,,22.333333333333332,29.333333333333332,,,,
2024020070,True,SJS,27,22,4,2,20,23,False,CHI,,,31.0,23.666666666666668,,,,
2024020070,False,CHI,22,27,2,4,23,20,False,SJS,,,33.0,26.666666666666668,,,,
2024020071,True,PHI,29,25,6,4,21,23,False,SEA,,,28.333333333333332,27.666666666666668,,,,
2024020071,False,SEA,25,29,4,6,23,21,False,PHI,,,25.666666666666668,31.0,,,,
2024020072,True,CAR,26,38,1,4,34,25,False,PIT,29.0,27.0,27.333333333333332,27.333333333333332,,,,
2024020072,False,PIT,38,26,4,1,25,34,False,CAR,,,24.333333333333332,25.333333333333332,,,,
2024020073,True,SJS,36,22,8,3,19,28,False,WPG,,,27.0,26.666666666666668,,,,
2024020073,False,WPG,22,36,3,8,28,19,True,SJS,,,29.0,25.0,,,,
2024020074,False,COL,19,49,3,4,45,16,False,ANA,,,28.333333333333332,26.333333333333332,,,,
2024020074,True,ANA,49,19,4,3,16,45,False,COL,,,23.0,26.666666666666668,,,,
2024020075,False,OTT,29,28,4,5,23,25,False,TBL,,,25.666666666666668,24.666666666666668,,,,
2024020075,True,TBL,28,29,5,4,25,23,False,OTT,,,24.333333333333332,29.0,,,,
