gameID,gameDate,isHome,opponent,team,teamSaves_last,opponentSaves_last,teamSaves_rolling_5,opponentSaves_rolling_5,teamSaves_rolling_3,opponentSaves_rolling_3,teamSaves_rolling_10,opponentSaves_rolling_10,teamSaves_rolling_15,opponentSaves_rolling_15,opponentTeamSaves_last,opponentOpponentSaves_last,opponentTeamSaves_rolling_5,opponentOpponentSaves_rolling_5,opponentTeamSaves_rolling_3,opponentOpponentSaves_rolling_3,opponentTeamSaves_rolling_10,opponentOpponentSaves_rolling_10,opponentTeamSaves_rolling_15,opponentOpponentSaves_rolling_15,teamCorsi_last,opponentCorsi_last,teamCorsi_rolling_5,opponentCorsi_rolling_5,teamCorsi_rolling_3,opponentCorsi_rolling_3,teamCorsi_rolling_10,opponentCorsi_rolling_10,teamCorsi_rolling_15,opponentCorsi_rolling_15,opponentTeamCorsi_last,opponentOpponentCorsi_last,opponentTeamCorsi_rolling_5,opponentOpponentCorsi_rolling_5,opponentTeamCorsi_rolling_3,opponentOpponentCorsi_rolling_3,opponentTeamCorsi_rolling_10,opponentOpponentCorsi_rolling_10,opponentTeamCorsi_rolling_15,opponentOpponentCorsi_rolling_15,teamFenwick_last,opponentFenwick_last,teamFenwick_rolling_5,opponentFenwick_rolling_5,teamFenwick_rolling_3,opponentFenwick_rolling_3,teamFenwick_rolling_10,opponentFenwick_rolling_10,teamFenwick_rolling_15,opponentFenwick_rolling_15,opponentTeamFenwick_last,opponentOpponentFenwick_last,opponentTeamFenwick_rolling_5,opponentOpponentFenwick_rolling_5,opponentTeamFenwick_rolling_3,opponentOpponentFenwick_rolling_3,opponentTeamFenwick_rolling_10,opponentOpponentFenwick_rolling_10,opponentTeamFenwick_rolling_15,opponentOpponentFenwick_rolling_15,backToBack,teamSaves,opponentSaves,corsiFor,corsiAgainst,fenwickFor,fenwickAgainst,splitGame
2024020031,2024-10-12,False,WSH,NJD,18.0,21.0,21.666666666666668,24.666666666666668,21.666666666666668,24.666666666666668,21.666666666666668,24.666666666666668,21.666666666666668,24.666666666666668,,,,,,,,,,,58.0,59.0,62.666666666666664,61.666666666666664,62.666666666666664,61.666666666666664,62.666666666666664,61.666666666666664,62.666666666666664,61.666666666666664,,,,,,,,,,,43.0,30.0,43.666666666666664,41.666666666666664,43.666666666666664,41.666666666666664,43.666666666666664,41.666666666666664,43.666666666666664,41.666666666666664,,,,,,,,,,,False,29,28,56,59,40,41,False
2024020031,2024-10-12,True,NJD,WSH,,,,,,,,,,,18.0,21.0,21.666666666666668,24.666666666666668,21.666666666666668,24.666666666666668,21.666666666666668,24.666666666666668,21.666666666666668,24.666666666666668,,,,,,,,,,,58.0,59.0,62.666666666666664,61.666666666666664,62.666666666666664,61.666666666666664,62.666666666666664,61.666666666666664,62.666666666666664,61.666666666666664,,,,,,,,,,,43.0,30.0,43.666666666666664,41.666666666666664,43.666666666666664,41.666666666666664,43.666666666666664,41.666666666666664,43.666666666666664,41.666666666666664,False,28,29,59,56,41,40,False
2024020032,2024-10-12,True,NYI,DAL,33.0,16.0,,,,,,,,,21.0,23.0,,,,,,,,,44.0,74.0,,,,,,,,,64.0,58.0,,,,,,,,,29.0,57.0,,,,,,,,,41.0,38.0,,,,,,,,,False,34,24,48,67,34,52,False
2024020032,2024-10-12,False,DAL,NYI,21.0,23.0,,,,,,,,,33.0,16.0,,,,,,,,,64.0,58.0,,,,,,,,,44.0,74.0,,,,,,,,,41.0,38.0,,,,,,,,,29.0,57.0,,,,,,,,,False,24,34,67,48,52,34,False
2024020033,2024-10-12,True,SEA,MIN,31.0,23.0,,,,,,,,,22.0,30.0,,,,,,,,,53.0,56.0,,,,,,,,,68.0,60.0,,,,,,,,,35.0,46.0,,,,,,,,,50.0,41.0,,,,,,,,,False,30,34,56,65,46,48,False
2024020033,2024-10-12,False,MIN,SEA,22.0,30.0,,,,,,,,,31.0,23.0,,,,,,,,,68.0,60.0,,,,,,,,,53.0,56.0,,,,,,,,,50.0,41.0,,,,,,,,,35.0,46.0,,,,,,,,,False,34,30,63,59,46,49,False
2024020034,2024-10-12,False,COL,CBJ,23.0,31.0,,,,,,,,,13.0,28.0,,,,,,,,,56.0,53.0,,,,,,,,,52.0,45.0,,,,,,,,,46.0,35.0,,,,,,,,,42.0,27.0,,,,,,,,,False,26,17,52,66,33,49,False
2024020034,2024-10-12,True,CBJ,COL,13.0,28.0,,,,,,,,,23.0,31.0,,,,,,,,,52.0,45.0,,,,,,,,,56.0,53.0,,,,,,,,,42.0,27.0,,,,,,,,,46.0,35.0,,,,,,,,,False,17,26,66,52,49,33,True
2024020035,2024-10-12,True,PHI,CGY,19.0,20.0,,,,,,,,,24.0,29.0,,,,,,,,,66.0,49.0,,,,,,,,,64.0,62.0,,,,,,,,,43.0,36.0,,,,,,,,,44.0,46.0,,,,,,,,,False,37,26,60,73,43,56,False
2024020035,2024-10-12,False,CGY,PHI,24.0,29.0,,,,,,,,,19.0,20.0,,,,,,,,,59.0,67.0,,,,,,,,,66.0,49.0,,,,,,,,,39.0,51.0,,,,,,,,,43.0,36.0,,,,,,,,,True,26,37,73,60,56,43,False
2024020036,2024-10-12,False,EDM,CHI,33.0,25.0,,,,,,,,,14.0,30.0,,,,,,,,,64.0,64.0,,,,,,,,,56.0,61.0,,,,,,,,,46.0,51.0,,,,,,,,,48.0,31.0,,,,,,,,,True,36,15,60,73,25,57,False
2024020036,2024-10-12,True,CHI,EDM,14.0,30.0,,,,,,,,,33.0,25.0,,,,,,,,,56.0,61.0,,,,,,,,,64.0,64.0,,,,,,,,,48.0,31.0,,,,,,,,,46.0,51.0,,,,,,,,,False,15,36,73,60,57,25,False
2024020037,2024-10-12,False,SJS,ANA,,,,,,,,,,,35.0,25.0,,,,,,,,,,,,,,,,,,,58.0,69.0,,,,,,,,,,,,,,,,,,,35.0,53.0,,,,,,,,,False,30,28,60,57,41,46,False
2024020037,2024-10-12,True,ANA,SJS,35.0,25.0,,,,,,,,,,,,,,,,,,,58.0,69.0,,,,,,,,,,,,,,,,,,,35.0,53.0,,,,,,,,,,,,,,,,,,,False,28,30,57,60,46,41,False
2024020038,2024-10-13,False,WPG,MIN,30.0,34.0,,,,,,,,,25.0,33.0,,,,,,,,,56.0,65.0,,,,,,,,,64.0,64.0,,,,,,,,,46.0,48.0,,,,,,,,,51.0,46.0,,,,,,,,,True,33,26,56,68,40,53,False
2024020038,2024-10-13,True,MIN,WPG,25.0,33.0,,,,,,,,,30.0,34.0,,,,,,,,,64.0,64.0,,,,,,,,,59.0,63.0,,,,,,,,,51.0,46.0,,,,,,,,,49.0,46.0,,,,,,,,,False,26,33,68,56,53,40,False
2024020039,2024-10-13,True,SEA,DAL,34.0,24.0,,,,,,,,,34.0,30.0,,,,,,,,,48.0,67.0,,,,,,,,,65.0,56.0,,,,,,,,,34.0,52.0,,,,,,,,,48.0,46.0,,,,,,,,,True,25,21,53,59,38,42,False
2024020039,2024-10-13,False,DAL,SEA,34.0,30.0,,,,,,,,,34.0,24.0,,,,,,,,,63.0,59.0,,,,,,,,,48.0,67.0,,,,,,,,,46.0,49.0,,,,,,,,,34.0,52.0,,,,,,,,,True,21,25,59,53,42,38,False
2024020040,2024-10-13,False,EDM,CGY,37.0,26.0,,,,,,,,,15.0,36.0,,,,,,,,,60.0,73.0,,,,,,,,,73.0,60.0,,,,,,,,,43.0,56.0,,,,,,,,,57.0,25.0,,,,,,,,,True,25,25,65,58,44,41,False
